voyage_ID,region_of_purchase,resistance,region_of_landing,vessel_name,
10433,Gold Coast,Slave insurrection,Jamaica,Pindar Gally,
10851,Gold Coast,Slave insurrection,Dutch Guianas,Agatha,
10834,West Central Africa and St. Helena,Slave insurrection,Dutch Caribbean,Koning Salomon,
10834,Bight of Benin,Slave insurrection,Dutch Guianas,Leusden,
10834,Bight of Benin,Slave insurrection,Dutch Guianas,Leusden,
10829,Bight of Benin,Slave insurrection,Dutch Caribbean,Rachel,
10829,Bight of Benin,Slave insurrection,Dutch Caribbean,Vergulde Zon,
10829,Bight of Benin,Slave insurrection,Dutch Guianas,Vergulde Zon,
10829,Gold Coast,Slave insurrection,Dutch Caribbean,Zonnestein,
10829,Gold Coast,Slave insurrection,Dutch Guianas,Vrijheid,
10840,Windward Coast,Slave insurrection,Dutch Guianas,Africaanse Galei,
10840,Windward Coast,Slave insurrection,Dutch Guianas,Drie Gezusters,
10840,West Central Africa and St. Helena,Insurrection planned but thwarted,Dutch Guianas,Enigheid,
10840,West Central Africa and St. Helena,Slave insurrection,Dutch Guianas,Groot Prooijen,
10851,West Central Africa and St. Helena,Slave insurrection,Dutch Guianas,Haast U Langzaam,
10851,West Central Africa and St. Helena,Slave insurrection,Montserrat,Hof van Zeeland,
10851,West Central Africa and St. Helena,Slave insurrection,Dutch Caribbean,Middelburgs Welvaren,
10851,West Central Africa and St. Helena,Slave insurrection,Dutch Caribbean,Middelburgs Welvaren,
10851,West Central Africa and St. Helena,Slave insurrection,Dutch Caribbean,Philadelphia,
10840,Windward Coast,Insurrection planned but thwarted,Dutch Caribbean,Prins Willem de Vijfde,
10829,Windward Coast,Vessel's boats attacked from shore,Dutch Guianas,Standvastigheid,
10829,Bight of Biafra and Gulf of Guinea islands,Vessel's boats attacked from shore,Rio de la Plata,S Pieter,
10831,Slave insurrection,Dutch Guianas,Hoop van Dordrecht,,
10433,Bight of Benin,Slave insurrection,Nevis,Martha,
10433,Senegambia and offshore Atlantic,Slave insurrection,Virginia,Postillion,
10433,Gold Coast,Slave insurrection,Jamaica,Joseph Gally,
10404,Bight of Biafra and Gulf of Guinea islands,Slave insurrection,Jamaica,Loyal George,
10404,Senegambia and offshore Atlantic,Slave insurrection,South Carolina,Scipio,
10404,Bight of Biafra and Gulf of Guinea islands,Vessel's boats attacked from shore,Virginia,Prince of Orange,
10404,Other Africa,Slave insurrection,Jamaica,Manchester,
10404,Bight of Biafra and Gulf of Guinea islands,Slave insurrection,St. Kitts,Prince of Orange,
10404,Bight of Biafra and Gulf of Guinea islands,Slave insurrection,St. Kitts,King David,
10404,Bight of Biafra and Gulf of Guinea islands,Slave insurrection,Barbados,Jamaica Packet,
10404,Gold Coast,Slave insurrection,Jamaica,Juba,
10404,Bight of Biafra and Gulf of Guinea islands,Slave insurrection,South Carolina,Matilda,
10404,Gold Coast,Slave insurrection,St. Kitts,Two Sisters,
10404,Gold Coast,Slave insurrection,Antigua,Black Prince,
10404,Bight of Biafra and Gulf of Guinea islands,Slave insurrection,Jamaica,Africa,
10404,Bight of Biafra and Gulf of Guinea islands,Vessel's boats attacked from shore,Antigua,Andrews,
10404,Gold Coast,Slave insurrection,Jamaica,Phoenix,
10404,Bight of Biafra and Gulf of Guinea islands,Slave insurrection,Tortola,Wasp,
10404,Bight of Biafra and Gulf of Guinea islands,Slave insurrection,Barbados,Wasp,
10404,Bight of Biafra and Gulf of Guinea islands,Slave insurrection,Grenada,Ruby,
10404,Sierra Leone,Slave insurrection,Jamaica,Crescent,
10404,Sierra Leone,Slave insurrection,St. Vincent,Albion,
10404,Bight of Biafra and Gulf of Guinea islands,Slave insurrection,St. Vincent,Favourite,
10404,Senegambia and offshore Atlantic,Slave insurrection,Grenada,Mermaid,
10433,Bight of Biafra and Gulf of Guinea islands,Slave insurrection,Barbados,Albion Frigate,
10433,West Central Africa and St. Helena,Slave insurrection,Jamaica,Don Carlos,
10433,Senegambia and offshore Atlantic,Slave insurrection,Jamaica,Urban Frigott,
10412,Senegambia and offshore Atlantic,Slave insurrection,Barbados,Sylvia Galley,
10430,Senegambia and offshore Atlantic,Slave insurrection,Barbados,Swallow,
20404,Sierra Leone,Vessel attacked from shore,Rhode Island,Jolly Batchelor,
10720,Bight of Benin,Slave insurrection,Saint-Domingue,Affriquain,
10720,Bight of Benin,Slave insurrection,Saint-Domingue,Société,
10720,Senegambia and offshore Atlantic,Slave insurrection,Saint-Domingue,Affriquaine,
10720,Bight of Benin,Slave insurrection,Martinique,Prudent,
10720,Bight of Biafra and Gulf of Guinea islands,Slave insurrection,French Guiana,Gracieuse,
10720,Other Africa,Slave insurrection,Saint-Domingue,Union,
10720,Bight of Benin,Slave insurrection,Saint-Domingue,Société,
10720,Bight of Benin,Slave insurrection,Saint-Domingue,Aimable Renaute,
10720,Other Africa,Slave insurrection,Martinique,Marie,
10720,Bight of Benin,Slave insurrection,Martinique,Amériquain,
10720,Bight of Benin,Slave insurrection,Saint-Domingue,Union,
10720,Bight of Benin,Slave insurrection,Saint-Domingue,Saint Nicolas,
10720,Bight of Benin,Slave insurrection,Saint-Domingue,Marie Magdelaine,
10720,Bight of Benin,Slave insurrection,Martinique,Neptune,
10720,Other Africa,Slave insurrection,Saint-Domingue,Aimable Renaute,
10720,Bight of Benin,Slave insurrection,Martinique,Reine de France,
10720,Bight of Benin,Slave insurrection,Martinique,Renommée,
10720,Bight of Benin,Slave insurrection,Martinique,Aventurier,
10720,Gold Coast,Slave insurrection,Saint-Domingue,Affriquain,
10720,West Central Africa and St. Helena,Slave insurrection,Saint-Domingue,Néréide,
10720,Bight of Benin,Slave insurrection,Saint-Domingue,Notre Dame de Bonne Garde,
10720,Bight of Benin,Slave insurrection,Saint-Domingue,Badine,
10720,Gold Coast,Slave insurrection,Saint-Domingue,Notre Dame de Bonne Garde,
10720,Bight of Benin,Slave insurrection,Saint-Domingue,Maure,
10720,Senegambia and offshore Atlantic,Slave insurrection,Saint-Domingue,Père de Famille,
10720,West Central Africa and St. Helena,Slave insurrection,Saint-Domingue,Cheval Marin,
10720,Bight of Benin,Slave insurrection,Saint-Domingue,Louise Marguerite,
10720,Bight of Benin,Slave insurrection,Saint-Domingue,Henriette,
10720,Senegambia and offshore Atlantic,Slave insurrection,Martinique,Hector,
10720,Bight of Benin,Slave insurrection,Saint-Domingue,Heureux,
10720,Bight of Benin,Slave insurrection,Martinique,Sirène,
10720,Senegambia and offshore Atlantic,Slave insurrection,Saint-Domingue,Saint Philippe,
10720,Senegambia and offshore Atlantic,Slave insurrection,Martinique,Finette,
10720,Sierra Leone,Slave insurrection,Martinique,Jeune Mars,
10720,Bight of Benin,Slave insurrection,Saint-Domingue,Entreprenante,
10720,Other Africa,Slave insurrection,Saint-Domingue,Croissant,
10720,West Central Africa and St. Helena,Slave insurrection,Saint-Domingue,Badine,
